Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2015,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,94.3
2016,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,93.366283
2017,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,96.6
2019,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,U,PT,96.78
1993,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,3.0
1996,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,5.3
1997,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,2.2
1999,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,2.4
2004,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,2.267038
2007,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,10.3
2008,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,11.3
2009,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,11.5
2010,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,18.8
2011,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,24.0
2012,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,26.8
2013,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,37.911397
2014,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,48.3
2015,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,63.3
2016,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,76.448811
2017,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,82.4
2019,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់,KH,R,PT,79.09
